comm_name,comm_code,comm_wt,indx042012,indx052012,indx062012,indx072012,indx082012,indx092012,indx102012,indx112012,indx122012,indx012013,indx022013,indx032013,indx042013,indx052013,indx062013,indx072013,indx082013,indx092013,indx102013,indx112013,indx122013,indx012014,indx022014,indx032014,indx042014,indx052014,indx062014,indx072014,indx082014,indx092014,indx102014,indx112014,indx122014,indx012015,indx022015,indx032015,indx042015,indx052015,indx062015,indx072015,indx082015,indx092015,indx102015,indx112015,indx122015,indx012016,indx022016,indx032016,indx042016,indx052016,indx062016,indx072016,indx082016,indx092016,indx102016,indx112016,indx122016,indx012017,indx022017,indx032017,indx042017,indx052017,indx062017,indx072017,indx082017,indx092017,indx102017,indx112017,indx122017,indx012018,indx022018,indx032018,indx042018,indx052018,indx062018,indx072018,indx082018,indx092018,indx102018,indx112018,indx122018,indx012019,indx022019,indx032019,indx042019,indx052019,indx062019,indx072019,indx082019,indx092019,indx102019,indx112019,indx122019,indx012020,indx022020,indx032020,indx042020,indx052020,indx062020,indx072020,indx082020,indx092020,indx102020,indx112020,indx122020,indx012021,indx022021,indx032021,indx042021,indx052021,indx062021,indx072021,indx082021,indx092021,indx102021,indx112021,indx122021,indx012022,indx022022,indx032022,indx042022,indx052022,indx062022,indx072022,indx082022,indx092022,indx102022,indx112022,indx122022,indx012023,indx022023,indx032023,indx042023,indx052023,indx062023,indx072023,indx082023,indx092023,indx102023
"Stainless Steel bars & rods, including flats",1314070001,0.48307,91.3,90.2,91.5,90.6,90.3,88.5,88.4,86.1,86.9,86.4,84.0,85.3,86.4,86.6,85.0,84.9,86.3,88.4,89.2,87.2,90.1,91.6,91.2,92.1,92.7,94.3,94.8,95.6,93.1,93.9,93.6,92.5,93.4,93.4,92.1,92.4,90.5,90.2,88.1,87.8,85.4,86.7,84.3,81.5,78.8,77.7,78.7,78.4,79.7,79.5,78.7,78.8,80.4,80.2,82.9,83.2,83.6,85.1,85.2,86.2,89.8,88.9,88.4,87.0,87.4,87.0,86.1,87.2,88.9,91.0,92.0,92.9,93.6,94.3,95.1,95.6,95.8,95.7,96.5,97.0,96.3,95.8,96.0,95.5,96.1,95.7,94.7,94.1,92.7,93.0,93.1,92.5,91.2,91.3,91.7,92.5,92.5,90.8,91.7,92.4,92.3,93.2,93.4,93.7,96.1,97.9,101.3,103.5,102.8,105.5,106.4,106.7,109.2,111.8,115.2,116.3,117.3,118.1,118.5,123.3,127.8,125.1,121.5,120.0,118.9,117.9,116.1,115.5,114.0,116.2,115.0,115.1,114.0,115.2,113.0,112.6,112.4,112.8,114.0
Ordinary Portland cement,1313050003,0.85277,110.6,109.1,109.2,111.3,111.2,106.8,107.0,107.4,102.4,103.3,104.3,103.8,102.5,103.6,106.0,105.8,103.4,103.5,104.8,103.3,102.4,102.6,106.4,107.4,109.8,107.9,110.4,114.0,112.0,109.5,109.5,106.7,107.9,112.0,110.2,110.7,108.3,105.8,105.2,106.6,107.4,110.3,110.1,109.0,107.0,104.5,103.6,106.0,106.3,107.8,109.0,109.4,108.9,110.0,109.5,108.2,106.4,105.9,105.7,106.7,110.5,113.7,112.9,111.3,111.1,110.9,109.2,110.2,111.0,111.2,113.2,111.8,113.1,113.0,111.6,113.0,111.1,111.4,110.7,110.3,111.5,112.7,116.1,116.4,119.6,123.2,122.5,120.6,118.5,120.7,118.6,119.6,118.5,118.0,119.8,119.7,123.3,124.6,123.2,121.5,119.7,118.3,117.8,118.7,118.1,118.5,120.6,125.0,125.7,123.6,123.6,124.7,123.3,122.6,125.3,127.7,125.5,124.3,127.9,130.1,133.5,135.1,138.0,135.0,133.8,133.4,133.5,134.4,135.2,136.6,136.5,136.8,136.0,134.7,135.0,135.6,136.2,134.9,136.7
slag cement,1313050004,0.0983,109.9,111.0,111.3,109.0,108.4,106.4,108.7,108.5,106.1,105.9,109.6,110.4,111.2,111.8,113.2,111.2,110.5,110.3,109.8,110.7,110.6,111.0,112.2,112.2,112.0,112.4,112.6,113.9,113.4,113.3,111.6,112.0,110.5,113.4,112.2,113.9,112.9,112.8,112.5,116.2,113.9,113.9,116.5,116.1,115.2,115.2,113.1,110.8,115.1,115.6,117.4,116.9,115.2,112.4,112.7,112.4,111.8,109.8,112.2,112.1,116.6,116.4,120.7,119.9,122.7,124.1,123.4,121.6,123.2,122.4,123.3,124.8,126.2,126.8,127.3,125.7,124.1,122.5,122.6,123.1,122.5,123.1,125.5,127.2,129.3,133.7,132.3,128.8,125.8,124.4,122.6,124.0,122.7,122.3,126.3,125.7,130.9,134.8,133.7,131.5,130.7,129.6,129.0,127.2,125.5,124.1,125.3,130.1,137.4,139.0,139.4,140.3,137.1,134.6,137.8,137.9,133.0,135.8,139.0,139.8,142.5,145.8,145.4,144.1,141.6,141.9,142.2,143.3,142.7,140.8,142.0,142.0,141.8,142.2,142.4,142.7,141.4,151.6,151.1
Pozzolana cement,1313050005,0.09194,114.2,110.3,113.7,115.7,111.2,108.0,109.2,106.0,102.2,104.3,109.5,108.1,104.7,107.5,109.3,109.2,103.2,104.0,104.9,106.5,104.7,105.5,110.3,110.2,109.7,108.1,111.0,111.6,109.7,111.3,110.5,106.8,108.0,111.6,110.3,113.5,111.3,106.4,106.6,104.9,110.4,113.7,110.6,109.2,105.5,105.2,107.0,108.1,109.6,110.2,111.8,112.6,111.4,110.4,109.9,108.9,108.3,108.3,108.6,108.8,111.7,113.3,113.1,111.8,112.0,111.8,110.3,109.7,111.0,110.7,111.3,110.3,109.1,109.8,109.4,110.9,110.5,110.4,109.8,109.6,109.0,109.5,111.6,111.1,113.7,116.8,115.2,114.6,113.9,114.3,113.0,113.3,112.4,112.4,114.1,114.4,116.0,117.5,116.8,114.8,114.6,114.0,114.7,114.6,113.7,114.9,114.2,116.7,116.6,117.3,118.0,118.8,117.9,117.9,119.8,120.7,118.1,118.7,119.5,121.3,125.5,124.4,123.4,123.0,122.4,123.0,123.0,123.9,124.3,123.6,122.2,121.5,123.5,122.4,123.5,122.7,123.0,124.2,126.1
Steel structures,1315010005,0.59281,107.9,106.5,107.0,110.0,108.7,107.7,108.5,107.6,105.8,104.9,105.7,108.2,106.9,105.7,106.8,107.3,107.9,110.2,107.0,109.1,107.3,106.6,106.8,107.6,108.3,108.4,107.8,108.3,107.2,108.3,109.3,109.0,112.1,109.8,112.1,114.1,110.6,110.6,109.9,109.0,110.2,111.6,109.7,110.1,109.8,110.5,110.1,109.9,106.8,105.6,103.9,105.2,103.1,104.4,105.1,102.0,106.3,109.0,109.5,109.1,107.5,107.1,106.9,108.2,107.0,109.2,106.2,108.3,109.7,112.8,114.7,114.2,111.8,112.9,113.9,115.8,119.4,120.0,119.1,118.6,119.7,119.6,120.0,121.4,122.0,121.5,120.7,119.9,119.5,119.9,119.6,119.4,118.8,118.5,118.5,119.5,118.4,117.2,116.3,116.0,115.5,114.4,117.9,119.1,123.5,125.7,123.6,123.2,124.8,127.5,125.7,126.7,127.7,126.2,124.9,125.8,126.4,126.4,127.1,128.2,133.6,137.6,137.9,133.9,137.5,137.4,135.2,134.6,135.6,136.0,135.4,137.6,137.3,137.2,136.8,133.6,139.8,141.2,136.6
"e. Manufacture of cement, lime and plaster",1313050000,1.6447999999999998,109.8,108.9,110.2,111.7,110.4,108.4,107.6,107.0,103.6,104.6,106.0,105.4,104.6,105.5,107.9,107.5,105.5,106.2,106.4,105.8,104.9,105.7,108.2,108.4,108.7,108.2,110.6,113.6,112.4,111.1,111.2,109.0,110.1,112.4,111.4,111.9,110.3,108.4,108.3,109.8,111.0,112.0,112.0,111.5,110.2,108.6,108.1,108.8,108.9,110.1,111.5,111.8,111.4,112.6,112.6,110.7,109.5,109.3,109.3,109.3,112.6,114.7,114.9,113.8,113.0,113.8,113.3,113.2,113.6,114.1,115.3,113.6,114.6,114.4,113.5,114.3,113.1,113.3,113.0,112.7,112.9,115.2,117.6,117.3,119.9,122.6,121.8,120.2,118.5,119.9,118.2,118.5,118.0,117.9,119.4,119.0,122.6,123.8,121.9,121.5,120.3,119.6,119.4,119.1,119.7,119.0,119.8,123.6,124.7,124.0,124.5,126.2,125.5,124.5,126.5,128.9,127.1,127.0,128.4,129.8,133.4,136.1,139.0,137.4,137.1,136.6,136.7,137.3,137.6,138.9,138.9,137.9,138.2,137.3,137.4,137.4,137.5,137.4,138.8
c. Mild Steel - Semi Finished Steel,1314030000,1.27356,106.9,107.8,107.9,110.7,107.9,107.7,107.6,107.1,106.5,106.2,105.4,105.5,105.1,104.5,104.3,102.9,100.9,102.0,102.8,102.7,103.8,104.6,105.3,105.5,105.0,106.1,106.5,105.8,105.3,104.7,105.2,103.6,98.2,101.5,100.0,99.9,99.6,98.1,97.2,94.7,92.5,93.1,91.9,90.1,89.4,90.5,90.5,91.9,91.2,90.9,89.6,88.9,88.9,89.4,90.6,90.0,88.8,89.7,89.2,90.3,90.1,89.3,89.5,91.8,92.1,93.1,92.4,92.8,94.5,96.8,97.8,98.1,98.8,99.8,100.8,99.6,99.5,101.6,101.2,100.1,98.7,97.9,98.2,98.1,98.0,96.7,96.2,94.9,93.6,93.5,92.8,93.2,93.7,96.3,96.0,95.8,96.3,94.1,94.4,94.9,97.7,97.3,96.0,100.0,103.2,107.2,105.6,110.3,113.0,117.0,116.5,115.2,116.9,116.8,120.9,119.3,118.2,120.6,122.9,132.3,134.5,133.3,127.4,128.3,127.0,126.3,126.1,123.2,122.0,124.9,124.8,126.0,122.8,122.4,121.8,122.2,120.7,121.7,120.0
d. Mild Steel -Long Products,1314040000,1.08063,104.7,104.7,104.2,102.1,101.8,101.4,101.6,101.3,99.9,100.1,101.2,99.9,100.0,98.9,98.5,97.4,96.9,97.7,98.3,98.1,98.5,99.5,100.5,101.3,101.8,102.9,104.3,104.1,102.2,101.9,102.2,100.6,99.0,98.5,96.8,95.0,94.7,92.7,91.1,89.0,86.5,86.7,85.3,83.5,83.1,83.2,83.0,84.9,86.0,86.1,84.4,83.1,81.5,82.9,83.8,86.0,86.0,86.8,87.1,89.4,90.8,90.3,89.8,91.6,92.0,92.5,91.7,95.4,98.5,102.9,105.9,105.9,108.0,109.8,110.8,110.0,108.2,112.3,111.5,112.3,110.3,109.5,109.9,110.1,110.1,109.4,108.4,106.1,104.2,103.4,102.6,101.9,102.4,104.9,105.6,106.6,106.2,105.6,104.8,102.8,104.5,106.3,108.0,112.8,118.2,125.6,124.7,124.6,127.6,130.9,131.7,131.4,132.9,133.5,140.8,140.4,139.0,139.9,144.8,155.9,159.1,156.7,151.6,149.9,149.4,146.8,147.9,144.9,145.5,148.3,148.4,147.6,145.7,144.4,141.7,139.5,140.8,143.8,143.5
e. Mild Steel - Flat products,1314050000,1.14442,107.2,105.6,105.8,105.4,105.4,105.2,105.2,104.6,105.6,105.4,104.4,104.9,103.9,103.5,103.0,103.3,103.5,104.0,105.1,105.6,105.8,106.5,107.3,108.4,105.4,105.7,104.1,103.7,103.4,102.4,102.3,102.5,101.6,101.4,99.5,97.9,96.8,95.4,93.2,90.4,88.4,89.6,88.3,86.3,82.8,81.9,82.2,86.9,87.6,89.3,87.4,85.2,83.5,85.8,89.8,90.8,91.6,92.7,91.4,97.7,99.8,97.8,97.4,98.3,99.9,104.7,104.8,105.0,106.2,111.8,115.2,117.8,119.2,120.5,120.6,120.7,119.8,122.0,123.0,122.2,119.7,115.6,115.0,117.3,116.0,115.4,113.7,111.4,107.9,106.4,103.3,102.2,103.4,106.9,109.5,108.5,105.1,107.0,106.5,105.4,108.8,111.6,115.6,118.2,123.5,136.8,134.4,133.5,142.8,152.4,154.9,156.3,156.4,156.3,159.7,163.5,160.6,157.1,160.3,170.2,179.1,174.1,162.3,156.6,153.4,149.6,148.7,146.4,143.8,144.1,150.5,151.0,150.4,147.7,144.5,142.8,141.8,144.7,145.1
Mild Steel (MS) Blooms,1314030001,0.64842,108.8,109.2,109.3,107.9,105.1,104.7,104.3,103.5,102.7,101.9,100.9,101.0,100.2,98.9,98.9,97.1,95.5,98.4,98.8,98.0,99.8,101.4,102.5,102.1,100.8,102.2,102.6,101.3,100.7,100.3,100.2,98.2,96.8,95.7,93.1,92.7,92.2,90.3,88.5,83.8,79.7,80.8,78.7,75.3,74.1,76.1,76.0,78.5,77.3,76.8,74.1,72.9,73.1,74.1,76.1,75.1,77.0,78.7,77.7,79.5,82.4,81.1,81.6,86.0,86.5,88.2,87.0,87.6,90.8,95.0,96.7,97.2,98.4,100.2,102.0,100.0,99.8,103.7,103.0,100.9,98.2,96.9,97.4,97.2,97.0,94.7,93.7,91.4,89.0,89.0,87.6,88.4,89.4,94.0,93.6,93.3,94.1,92.1,91.7,91.7,94.4,95.6,93.1,100.0,105.1,114.0,108.2,112.9,118.6,123.2,121.6,119.1,122.9,123.6,130.1,126.4,124.1,128.4,132.7,143.3,146.1,143.3,135.6,137.9,135.4,133.9,133.8,128.3,127.5,132.8,132.1,132.7,130.3,127.4,126.3,123.3,123.8,127.3,124.5
